Date,Symbol,Order,Shares
2008-02-28,IBM,SELL,100.0
2008-03-27,IBM,BUY,100.0
2008-04-22,IBM,SELL,100.0
2008-05-21,IBM,BUY,100.0
2008-07-01,IBM,BUY,100.0
2008-07-08,IBM,SELL,100.0
2008-07-21,IBM,SELL,100.0
2008-08-11,IBM,BUY,100.0
2008-08-21,IBM,BUY,100.0
2008-09-19,IBM,SELL,100.0
2008-10-10,IBM,BUY,100.0
2008-10-30,IBM,SELL,100.0
2008-11-21,IBM,BUY,100.0
2008-12-03,IBM,SELL,100.0
2009-01-07,IBM,SELL,100.0
2009-01-14,IBM,BUY,100.0
2009-01-22,IBM,SELL,100.0
2009-02-17,IBM,BUY,100.0
2009-02-24,IBM,BUY,100.0
2009-02-27,IBM,SELL,100.0
2009-03-25,IBM,SELL,100.0
2009-04-27,IBM,BUY,100.0
2009-04-30,IBM,SELL,100.0
2009-05-08,IBM,BUY,100.0
2009-06-02,IBM,SELL,100.0
2009-06-18,IBM,BUY,100.0
2009-07-08,IBM,BUY,100.0
2009-07-15,IBM,SELL,100.0
2009-07-22,IBM,SELL,100.0
2009-08-17,IBM,BUY,100.0
2009-09-03,IBM,BUY,100.0
2009-09-11,IBM,SELL,100.0
2009-09-18,IBM,SELL,100.0
2009-09-29,IBM,BUY,100.0
2009-10-15,IBM,SELL,100.0
2009-10-16,IBM,BUY,100.0
2009-12-14,IBM,SELL,100.0
2009-12-17,IBM,BUY,100.0
2009-12-29,IBM,SELL,100.0
