Date,Symbol,Order,Shares
2008-01-29,IBM,SELL,100.0
2008-01-30,IBM,BUY,100.0
2008-01-31,IBM,SELL,100.0
2008-02-05,IBM,BUY,100.0
2008-02-06,IBM,SELL,100.0
2008-02-07,IBM,BUY,100.0
2008-02-08,IBM,BUY,100.0
2008-02-26,IBM,SELL,100.0
2008-02-27,IBM,SELL,100.0
2008-03-06,IBM,BUY,100.0
2008-03-07,IBM,SELL,100.0
2008-03-10,IBM,BUY,100.0
2008-03-11,IBM,SELL,100.0
2008-03-13,IBM,BUY,100.0
2008-03-14,IBM,SELL,100.0
2008-03-17,IBM,BUY,100.0
2008-03-18,IBM,SELL,100.0
2008-03-19,IBM,BUY,100.0
2008-03-20,IBM,SELL,100.0
2008-03-24,IBM,BUY,100.0
2008-03-25,IBM,SELL,100.0
2008-03-26,IBM,BUY,100.0
2008-03-27,IBM,BUY,100.0
2008-04-17,IBM,SELL,100.0
2008-04-18,IBM,SELL,100.0
2008-04-25,IBM,BUY,100.0
2008-04-28,IBM,SELL,100.0
2008-04-29,IBM,BUY,100.0
2008-04-30,IBM,SELL,100.0
2008-05-01,IBM,BUY,100.0
2008-05-02,IBM,SELL,100.0
2008-05-05,IBM,BUY,100.0
2008-05-06,IBM,SELL,100.0
2008-05-07,IBM,BUY,100.0
2008-05-08,IBM,SELL,100.0
2008-05-09,IBM,BUY,100.0
2008-05-12,IBM,SELL,100.0
2008-05-13,IBM,BUY,100.0
2008-05-14,IBM,SELL,100.0
2008-05-16,IBM,BUY,100.0
2008-05-19,IBM,SELL,100.0
2008-05-20,IBM,BUY,100.0
2008-05-21,IBM,BUY,100.0
2008-07-18,IBM,SELL,100.0
2008-07-21,IBM,SELL,100.0
2008-07-28,IBM,BUY,100.0
2008-07-29,IBM,SELL,100.0
2008-07-30,IBM,BUY,100.0
2008-07-31,IBM,SELL,100.0
2008-08-01,IBM,BUY,100.0
2008-08-04,IBM,SELL,100.0
2008-08-05,IBM,BUY,100.0
2008-08-06,IBM,SELL,100.0
2008-08-07,IBM,BUY,100.0
2008-08-08,IBM,SELL,100.0
2008-08-11,IBM,BUY,100.0
2008-08-12,IBM,BUY,100.0
2008-11-04,IBM,SELL,100.0
2008-11-05,IBM,SELL,100.0
2008-11-06,IBM,BUY,100.0
2008-11-07,IBM,BUY,100.0
2008-12-08,IBM,SELL,100.0
2008-12-09,IBM,SELL,100.0
2008-12-11,IBM,BUY,100.0
2008-12-12,IBM,SELL,100.0
2008-12-19,IBM,BUY,100.0
2008-12-22,IBM,SELL,100.0
2008-12-23,IBM,BUY,100.0
2008-12-24,IBM,BUY,100.0
2009-01-02,IBM,SELL,100.0
2009-01-05,IBM,SELL,100.0
2009-01-09,IBM,BUY,100.0
2009-01-12,IBM,SELL,100.0
2009-01-13,IBM,BUY,100.0
2009-01-14,IBM,BUY,100.0
2009-01-21,IBM,SELL,100.0
2009-01-22,IBM,SELL,100.0
2009-02-02,IBM,BUY,100.0
2009-02-03,IBM,SELL,100.0
2009-02-13,IBM,BUY,100.0
2009-02-17,IBM,BUY,100.0
2009-03-17,IBM,SELL,100.0
2009-03-18,IBM,SELL,100.0
2009-03-27,IBM,BUY,100.0
2009-03-30,IBM,SELL,100.0
2009-04-07,IBM,BUY,100.0
2009-04-08,IBM,SELL,100.0
2009-04-13,IBM,BUY,100.0
2009-04-14,IBM,SELL,100.0
2009-04-15,IBM,BUY,100.0
2009-04-16,IBM,SELL,100.0
2009-04-17,IBM,BUY,100.0
2009-04-20,IBM,SELL,100.0
2009-04-21,IBM,BUY,100.0
2009-04-22,IBM,SELL,100.0
2009-04-23,IBM,BUY,100.0
2009-04-24,IBM,SELL,100.0
