Date,Symbol,Order,Shares
2010-01-29,IBM,BUY,100.0
2010-09-24,IBM,SELL,100.0
2010-09-27,IBM,SELL,100.0
2010-09-30,IBM,BUY,100.0
2010-10-01,IBM,SELL,100.0
2010-10-04,IBM,BUY,100.0
2010-10-05,IBM,SELL,100.0
2010-10-15,IBM,BUY,100.0
2010-10-18,IBM,SELL,100.0
2010-10-19,IBM,BUY,100.0
2010-10-20,IBM,SELL,100.0
2010-10-21,IBM,BUY,100.0
2010-10-22,IBM,SELL,100.0
2010-10-25,IBM,BUY,100.0
2010-10-26,IBM,SELL,100.0
2010-10-27,IBM,BUY,100.0
2010-10-28,IBM,SELL,100.0
2010-10-29,IBM,BUY,100.0
2010-11-01,IBM,SELL,100.0
2010-11-02,IBM,BUY,100.0
2010-11-03,IBM,SELL,100.0
2010-11-09,IBM,BUY,100.0
2010-11-10,IBM,SELL,100.0
2010-11-11,IBM,BUY,100.0
2010-11-12,IBM,SELL,100.0
2010-11-15,IBM,BUY,100.0
2010-11-16,IBM,BUY,100.0
2011-01-19,IBM,SELL,100.0
2011-01-20,IBM,SELL,100.0
2011-02-10,IBM,BUY,100.0
2011-02-11,IBM,SELL,100.0
2011-02-14,IBM,BUY,100.0
2011-02-15,IBM,SELL,100.0
2011-02-16,IBM,BUY,100.0
2011-02-17,IBM,SELL,100.0
2011-02-18,IBM,BUY,100.0
2011-02-22,IBM,BUY,100.0
2011-07-01,IBM,SELL,100.0
2011-07-05,IBM,SELL,100.0
2011-07-11,IBM,BUY,100.0
2011-07-12,IBM,SELL,100.0
2011-07-13,IBM,BUY,100.0
2011-07-14,IBM,SELL,100.0
2011-07-15,IBM,BUY,100.0
2011-07-18,IBM,SELL,100.0
2011-07-26,IBM,BUY,100.0
2011-07-27,IBM,SELL,100.0
2011-07-28,IBM,BUY,100.0
2011-07-29,IBM,SELL,100.0
2011-08-01,IBM,BUY,100.0
2011-08-02,IBM,BUY,100.0
2011-09-27,IBM,SELL,100.0
2011-09-28,IBM,SELL,100.0
2011-09-30,IBM,BUY,100.0
2011-10-03,IBM,SELL,100.0
2011-10-04,IBM,BUY,100.0
2011-10-05,IBM,SELL,100.0
2011-10-18,IBM,BUY,100.0
2011-10-19,IBM,BUY,100.0
2011-12-07,IBM,SELL,100.0
2011-12-08,IBM,SELL,100.0
2011-12-12,IBM,BUY,100.0
2011-12-13,IBM,SELL,100.0
2011-12-14,IBM,BUY,100.0
2011-12-15,IBM,SELL,100.0
2011-12-16,IBM,BUY,100.0
2011-12-19,IBM,BUY,100.0
