Date,Symbol,Order,Shares
2008-01-29,IBM,SELL,100.0
2008-02-05,IBM,BUY,100.0
2008-02-12,IBM,SELL,100.0
2008-02-15,IBM,BUY,100.0
2008-02-27,IBM,SELL,100.0
2008-03-07,IBM,BUY,100.0
2008-03-14,IBM,SELL,100.0
2008-03-17,IBM,BUY,100.0
2008-03-20,IBM,SELL,100.0
2008-03-25,IBM,BUY,100.0
2008-03-26,IBM,SELL,100.0
2008-03-27,IBM,BUY,100.0
2008-03-31,IBM,SELL,100.0
2008-04-01,IBM,BUY,100.0
2008-04-02,IBM,SELL,100.0
2008-04-03,IBM,BUY,100.0
2008-04-17,IBM,SELL,100.0
2008-04-18,IBM,BUY,100.0
2008-04-21,IBM,SELL,100.0
2008-04-24,IBM,BUY,100.0
2008-04-30,IBM,SELL,100.0
2008-05-07,IBM,BUY,100.0
2008-05-14,IBM,SELL,100.0
2008-05-20,IBM,BUY,100.0
2008-05-30,IBM,SELL,100.0
2008-06-03,IBM,BUY,100.0
2008-06-06,IBM,SELL,100.0
2008-06-13,IBM,BUY,100.0
2008-06-16,IBM,SELL,100.0
2008-06-27,IBM,BUY,100.0
2008-07-03,IBM,SELL,100.0
2008-07-09,IBM,BUY,100.0
2008-07-16,IBM,SELL,100.0
2008-07-18,IBM,BUY,100.0
2008-07-21,IBM,SELL,100.0
2008-07-28,IBM,BUY,100.0
2008-08-05,IBM,SELL,100.0
2008-08-19,IBM,BUY,100.0
2008-08-22,IBM,SELL,100.0
2008-09-02,IBM,BUY,100.0
2008-09-25,IBM,SELL,100.0
2008-10-07,IBM,BUY,100.0
2008-10-14,IBM,SELL,100.0
2008-10-15,IBM,BUY,100.0
2008-10-16,IBM,SELL,100.0
2008-10-22,IBM,BUY,100.0
2008-10-29,IBM,SELL,100.0
2008-11-06,IBM,BUY,100.0
2008-11-10,IBM,SELL,100.0
2008-11-12,IBM,BUY,100.0
2008-11-13,IBM,SELL,100.0
2008-11-17,IBM,BUY,100.0
2008-11-25,IBM,SELL,100.0
2008-11-28,IBM,BUY,100.0
2008-12-02,IBM,SELL,100.0
2008-12-03,IBM,BUY,100.0
2008-12-05,IBM,SELL,100.0
2008-12-09,IBM,BUY,100.0
2008-12-16,IBM,SELL,100.0
2008-12-22,IBM,BUY,100.0
2009-01-02,IBM,SELL,100.0
2009-01-14,IBM,BUY,100.0
2009-01-26,IBM,SELL,100.0
2009-01-27,IBM,BUY,100.0
2009-02-04,IBM,SELL,100.0
2009-02-19,IBM,BUY,100.0
2009-02-23,IBM,SELL,100.0
2009-02-24,IBM,BUY,100.0
2009-02-26,IBM,SELL,100.0
2009-02-27,IBM,BUY,100.0
2009-03-02,IBM,SELL,100.0
2009-03-03,IBM,BUY,100.0
2009-03-04,IBM,SELL,100.0
2009-03-05,IBM,BUY,100.0
2009-03-23,IBM,SELL,100.0
2009-03-27,IBM,BUY,100.0
2009-03-31,IBM,SELL,100.0
2009-04-13,IBM,BUY,100.0
2009-04-16,IBM,SELL,100.0
2009-04-21,IBM,BUY,100.0
2009-05-04,IBM,SELL,100.0
2009-05-06,IBM,BUY,100.0
2009-05-14,IBM,SELL,100.0
2009-05-21,IBM,BUY,100.0
2009-06-01,IBM,SELL,100.0
2009-06-03,IBM,BUY,100.0
2009-06-11,IBM,SELL,100.0
2009-06-12,IBM,BUY,100.0
2009-06-15,IBM,SELL,100.0
2009-06-17,IBM,BUY,100.0
2009-06-25,IBM,SELL,100.0
2009-07-02,IBM,BUY,100.0
2009-07-17,IBM,SELL,100.0
2009-07-27,IBM,BUY,100.0
2009-08-05,IBM,SELL,100.0
2009-08-06,IBM,BUY,100.0
2009-08-07,IBM,SELL,100.0
2009-08-14,IBM,BUY,100.0
2009-08-24,IBM,SELL,100.0
2009-08-25,IBM,BUY,100.0
2009-08-28,IBM,SELL,100.0
2009-09-04,IBM,BUY,100.0
2009-09-23,IBM,SELL,100.0
2009-09-29,IBM,BUY,100.0
2009-10-09,IBM,SELL,100.0
2009-10-16,IBM,BUY,100.0
2009-10-20,IBM,SELL,100.0
2009-10-23,IBM,BUY,100.0
2009-11-12,IBM,SELL,100.0
2009-11-18,IBM,BUY,100.0
2009-11-19,IBM,SELL,100.0
2009-11-25,IBM,BUY,100.0
2009-12-01,IBM,SELL,100.0
2009-12-02,IBM,BUY,100.0
2009-12-10,IBM,SELL,100.0
2009-12-15,IBM,BUY,100.0
