Date,Symbol,Order,Shares
2008-01-29,ML4T-220,SELL,100.0
2008-02-13,ML4T-220,BUY,100.0
2008-03-06,ML4T-220,SELL,100.0
2008-03-28,ML4T-220,BUY,100.0
2008-04-18,ML4T-220,SELL,100.0
2008-05-09,ML4T-220,BUY,100.0
2008-06-02,ML4T-220,SELL,100.0
2008-06-23,ML4T-220,BUY,100.0
2008-07-15,ML4T-220,SELL,100.0
2008-08-05,ML4T-220,BUY,100.0
2008-08-26,ML4T-220,SELL,100.0
2008-09-16,ML4T-220,BUY,100.0
2008-10-07,ML4T-220,SELL,100.0
2008-10-28,ML4T-220,BUY,100.0
2008-11-18,ML4T-220,SELL,100.0
2008-12-10,ML4T-220,BUY,100.0
2009-01-02,ML4T-220,SELL,100.0
2009-01-26,ML4T-220,BUY,100.0
2009-02-17,ML4T-220,SELL,100.0
2009-03-10,ML4T-220,BUY,100.0
2009-03-31,ML4T-220,SELL,100.0
2009-04-21,ML4T-220,BUY,100.0
2009-05-12,ML4T-220,SELL,100.0
2009-06-03,ML4T-220,BUY,100.0
2009-06-24,ML4T-220,SELL,100.0
2009-07-16,ML4T-220,BUY,100.0
2009-08-06,ML4T-220,SELL,100.0
2009-08-27,ML4T-220,BUY,100.0
2009-09-18,ML4T-220,SELL,100.0
2009-10-09,ML4T-220,BUY,100.0
2009-10-30,ML4T-220,SELL,100.0
2009-11-19,ML4T-220,BUY,100.0
2009-12-11,ML4T-220,SELL,100.0
