Date,Symbol,Order,Shares
2010-01-29,IBM,BUY,100.0
2010-02-12,IBM,SELL,200.0
2010-02-17,IBM,BUY,200.0
2010-03-02,IBM,SELL,200.0
2010-03-17,IBM,BUY,200.0
2010-03-23,IBM,SELL,200.0
2010-03-29,IBM,BUY,200.0
2010-04-07,IBM,SELL,200.0
2010-04-09,IBM,BUY,200.0
2010-04-14,IBM,SELL,200.0
2010-04-16,IBM,BUY,200.0
2010-04-27,IBM,SELL,200.0
2010-04-28,IBM,BUY,200.0
2010-04-30,IBM,SELL,200.0
2010-05-03,IBM,BUY,200.0
2010-05-07,IBM,SELL,200.0
2010-05-11,IBM,BUY,200.0
2010-05-12,IBM,SELL,200.0
2010-05-13,IBM,BUY,200.0
2010-05-19,IBM,SELL,200.0
2010-05-20,IBM,BUY,200.0
2010-05-21,IBM,SELL,200.0
2010-05-25,IBM,BUY,200.0
2010-06-07,IBM,SELL,200.0
2010-06-08,IBM,BUY,200.0
2010-06-09,IBM,SELL,200.0
2010-06-10,IBM,BUY,200.0
2010-06-14,IBM,SELL,200.0
2010-06-24,IBM,BUY,200.0
2010-06-29,IBM,SELL,200.0
2010-07-01,IBM,BUY,200.0
2010-07-13,IBM,SELL,200.0
2010-07-20,IBM,BUY,200.0
2010-07-22,IBM,SELL,200.0
2010-07-28,IBM,BUY,200.0
2010-08-10,IBM,SELL,200.0
2010-08-12,IBM,BUY,200.0
2010-08-16,IBM,SELL,200.0
2010-08-17,IBM,BUY,200.0
2010-08-26,IBM,SELL,200.0
2010-08-30,IBM,BUY,200.0
2010-09-16,IBM,SELL,200.0
2010-09-20,IBM,BUY,200.0
2010-09-24,IBM,SELL,200.0
2010-10-04,IBM,BUY,200.0
2010-10-06,IBM,SELL,200.0
2010-10-15,IBM,BUY,200.0
2010-10-18,IBM,SELL,200.0
2010-11-01,IBM,BUY,200.0
2010-11-15,IBM,SELL,200.0
2010-11-16,IBM,BUY,200.0
2010-11-22,IBM,SELL,200.0
2010-11-24,IBM,BUY,200.0
2010-12-29,IBM,SELL,200.0
2010-12-31,IBM,BUY,200.0
2011-01-03,IBM,SELL,200.0
2011-01-05,IBM,BUY,200.0
2011-01-06,IBM,SELL,200.0
2011-01-10,IBM,BUY,200.0
2011-01-12,IBM,SELL,200.0
2011-01-24,IBM,BUY,200.0
2011-01-26,IBM,SELL,200.0
2011-01-28,IBM,BUY,200.0
2011-02-22,IBM,SELL,200.0
2011-02-25,IBM,BUY,200.0
2011-02-28,IBM,SELL,200.0
2011-03-03,IBM,BUY,200.0
2011-03-04,IBM,SELL,200.0
2011-03-08,IBM,BUY,200.0
2011-03-18,IBM,SELL,200.0
2011-03-21,IBM,BUY,200.0
2011-03-25,IBM,SELL,200.0
2011-04-07,IBM,BUY,200.0
2011-04-13,IBM,SELL,200.0
2011-04-18,IBM,BUY,200.0
2011-04-25,IBM,SELL,200.0
2011-05-16,IBM,BUY,200.0
2011-05-24,IBM,SELL,200.0
2011-05-31,IBM,BUY,200.0
2011-06-08,IBM,SELL,200.0
2011-06-20,IBM,BUY,200.0
2011-06-30,IBM,SELL,200.0
2011-07-14,IBM,BUY,200.0
2011-07-20,IBM,SELL,200.0
2011-07-22,IBM,BUY,200.0
2011-07-26,IBM,SELL,200.0
2011-07-27,IBM,BUY,200.0
2011-08-16,IBM,SELL,200.0
2011-08-17,IBM,BUY,200.0
2011-09-21,IBM,SELL,200.0
2011-09-22,IBM,BUY,200.0
2011-09-23,IBM,SELL,200.0
2011-10-04,IBM,BUY,200.0
2011-10-10,IBM,SELL,200.0
2011-10-11,IBM,BUY,200.0
2011-10-14,IBM,SELL,200.0
2011-10-18,IBM,BUY,200.0
2011-10-20,IBM,SELL,200.0
2011-10-21,IBM,BUY,200.0
2011-11-01,IBM,SELL,200.0
2011-11-04,IBM,BUY,200.0
2011-11-18,IBM,SELL,200.0
2011-11-25,IBM,BUY,200.0
2011-12-01,IBM,SELL,200.0
2011-12-05,IBM,BUY,200.0
2011-12-07,IBM,SELL,200.0
2011-12-14,IBM,BUY,200.0
