Date,Symbol,Order,Shares
2010-01-29,ML4T-220,SELL,100.0
2010-02-18,ML4T-220,BUY,200.0
2010-03-11,ML4T-220,SELL,200.0
2010-04-01,ML4T-220,BUY,200.0
2010-04-23,ML4T-220,SELL,200.0
2010-05-14,ML4T-220,BUY,200.0
2010-06-07,ML4T-220,SELL,200.0
2010-06-25,ML4T-220,BUY,200.0
2010-07-19,ML4T-220,SELL,200.0
2010-08-09,ML4T-220,BUY,200.0
2010-08-30,ML4T-220,SELL,200.0
2010-09-21,ML4T-220,BUY,200.0
2010-10-12,ML4T-220,SELL,200.0
2010-11-02,ML4T-220,BUY,200.0
2010-11-23,ML4T-220,SELL,200.0
2010-12-15,ML4T-220,BUY,200.0
2011-01-06,ML4T-220,SELL,200.0
2011-01-27,ML4T-220,BUY,200.0
2011-02-17,ML4T-220,SELL,200.0
2011-03-11,ML4T-220,BUY,200.0
2011-04-01,ML4T-220,SELL,200.0
2011-04-25,ML4T-220,BUY,200.0
2011-05-16,ML4T-220,SELL,200.0
2011-06-07,ML4T-220,BUY,200.0
2011-06-28,ML4T-220,SELL,200.0
2011-07-20,ML4T-220,BUY,200.0
2011-08-10,ML4T-220,SELL,200.0
2011-08-30,ML4T-220,BUY,200.0
2011-09-21,ML4T-220,SELL,200.0
2011-10-12,ML4T-220,BUY,200.0
2011-11-02,ML4T-220,SELL,200.0
2011-11-23,ML4T-220,BUY,200.0
2011-12-15,ML4T-220,SELL,200.0
